"","n.train","prediction.class","metric.type","dataset","value","min","max","sd","class.prop"
"464",32000,"Disasterreliefyes","Balanced.Accuracy","Minimal",0.541167293980626,0.527359159591479,0.555998400307712,0.00465620823354249,9.9793
"465",32000,"Disasterreliefyes","Balanced.Accuracy","Standard",0.541901626072653,0.529628440606421,0.555506503474873,0.00471456908799459,9.9635
"466",32000,"Donatefundsyes","Balanced.Accuracy","Custom",0.55088199709139,0.542445799457995,0.559842905035675,0.00398445238080968,35.0529
"467",32000,"Donatefundsyes","Balanced.Accuracy","Minimal",0.551010174163295,0.541900109982081,0.561376037684341,0.00367247571068469,35.027
"468",32000,"Donatefundsyes","Balanced.Accuracy","Standard",0.550728069789726,0.541347611652086,0.558803323079487,0.00354554847867186,35.0734
"469",32000,"ntmaj10art","Balanced.Accuracy","Custom",0.83341506689251,0.821235901022757,0.845226733942589,0.00448438362241871,20.2722
"470",32000,"ntmaj10art","Balanced.Accuracy","Minimal",0.835258068997921,0.825500797748532,0.849809581759454,0.00461049355813161,20.3046
"471",32000,"ntmaj10art","Balanced.Accuracy","Standard",0.835611692793218,0.822792936702018,0.84883602680678,0.00523297550392542,20.2525
"472",32000,"ntmaj10edu","Balanced.Accuracy","Custom",0.783368646473272,0.774328420293861,0.79577970157903,0.00431029786589868,27.9414
"473",32000,"ntmaj10edu","Balanced.Accuracy","Minimal",0.784112947345899,0.773923039802519,0.794085635274689,0.00443493511223807,27.9821
"474",32000,"ntmaj10edu","Balanced.Accuracy","Standard",0.784745728179771,0.774331651553622,0.796959791479725,0.00432611424299573,27.9288
"475",32000,"ntmaj10env","Balanced.Accuracy","Custom",0.879402149459243,0.864581290637629,0.901594745962449,0.00654157856774164,12.18
"476",32000,"ntmaj10env","Balanced.Accuracy","Minimal",0.879717146403507,0.864574788182351,0.898965405496162,0.00645622988150496,12.1611
"477",32000,"ntmaj10env","Balanced.Accuracy","Standard",0.881774903787758,0.866954048097554,0.898712602892703,0.00567077224256691,12.224
"478",32000,"ntmaj10health","Balanced.Accuracy","Custom",0.780739447010525,0.76294875747892,0.799731022357912,0.00704372432235014,14.7393
"479",32000,"ntmaj10health","Balanced.Accuracy","Minimal",0.780858174760269,0.761629478484892,0.796111908551052,0.00709307759074492,14.6679
"480",32000,"ntmaj10health","Balanced.Accuracy","Standard",0.779612840063613,0.758755720063404,0.798402036110829,0.00771745971250676,14.6676
"481",32000,"ntmaj10hserv","Balanced.Accuracy","Custom",0.778002840944335,0.771859321693759,0.785157824961956,0.00266947297435505,78.2648
"482",32000,"ntmaj10hserv","Balanced.Accuracy","Minimal",0.777665164987966,0.770828584345852,0.784525070502063,0.00245586205247676,78.201
"483",32000,"ntmaj10hserv","Balanced.Accuracy","Standard",0.778088705199774,0.770472516543458,0.784739330886467,0.00269798290628331,78.3449
"484",32000,"ntmaj10int","Balanced.Accuracy","Custom",0.502762707351254,0.499470285541318,0.510329625543396,0.00260251273831554,1.8473
"485",32000,"ntmaj10int","Balanced.Accuracy","Minimal",0.502904208728027,0.499419543710882,0.51427723888345,0.00295383813800919,1.8284
"486",32000,"ntmaj10int","Balanced.Accuracy","Standard",0.503319878761809,0.499344096871847,0.510707478416863,0.00327507604090378,1.8341
"487",32000,"ntmaj10mutual","Balanced.Accuracy","Custom",0.509640451670861,0.499573078854847,0.530461506278725,0.00707907420889817,1.0029
"488",32000,"ntmaj10mutual","Balanced.Accuracy","Minimal",0.509657882639784,0.499547965846308,0.529135355016466,0.00698216252867188,0.9834
"489",32000,"ntmaj10mutual","Balanced.Accuracy","Standard",0.510783237062506,0.499522349037156,0.531177038300348,0.00735474850825425,0.9813
"490",32000,"ntmaj10public","Balanced.Accuracy","Custom",0.676263478303373,0.665108135810381,0.686283504051092,0.00441799327210512,28.2266
"491",32000,"ntmaj10public","Balanced.Accuracy","Minimal",0.677770273739246,0.667538055055346,0.6916014642378,0.00487898405163465,28.1601
"492",32000,"ntmaj10public","Balanced.Accuracy","Standard",0.678138348970767,0.66579322428379,0.68953844103634,0.00454878916730273,28.2511
"493",32000,"ntmaj10rel","Balanced.Accuracy","Custom",0.843368895356105,0.831308126037182,0.854894440836631,0.00534278852487437,13.4146
"494",32000,"ntmaj10rel","Balanced.Accuracy","Minimal",0.845462282993934,0.830362484546513,0.859181649718206,0.00595895885982414,13.4009
